Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Price / International,Compare-at price,Compare-at price / International,Cost per item,Charge tax,Tax code,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Stanley Tekerlekli Mesafe Ölçer Mw-,stanley-tekerlekli-mesafe-olcer-mw,"<h3>Ürün Özellikleri</h3>
<ul>
  <li><strong>Tip:</strong> Metre</li>
  <li><strong>Garanti Süresi:</strong> 2 Yıl</li>
</ul>",turmarkt,Apparel & Accessories > Clothing,Bahçe & Yapı MarketBahçeElektrikli El AletleriÖlçüm CihazıStanley Ölçüm CihazıTekerlekli Mesafe Ölçer Mw40 - 177174,BAHÇE & YAPI MARKETB,TRUE,active,stanley-tekerlekli-mesafe-olcer-mw,,Title,Default Title,,,,,5221.92,,,,,,,,20,deny,,,,manual,https://cdn.dsmcdn.com/ty26/product/media/images/20201121/0/29483907/100406565/1/1_org_zoom.jpg,1,Stanley Tekerlekli Mesafe Ölçer Mw-,,FALSE,Stanley Tekerlekli Mesafe Ölçer Mw-,,Apparel & Accessories > Clothing,,,,,,New,,,,,,
,stanley-tekerlekli-mesafe-olcer-mw,,,,,,TRUE,active,,,Title,Default Title,,,,,,,,,,,,,,deny,,,,manual,https://cdn.dsmcdn.com/ty25/product/media/images/20201121/0/29483907/100406565/2/2_org_zoom.jpg,2,Stanley Tekerlekli Mesafe Ölçer Mw- - Görsel 2,,FALSE,,,,,,,,,,,,,,,
